Eleicao;Município;Candidato - nome completo;Candidato - nome de urna;Gênero;Partido; Coligação;Votos;Percentual;Situação
Eleições Municipais 2020;MURIAÉ;MARGARETH RODRIGUES DA SILVA CHAVES;MARGARETH PROFESSORA;FEMININO;PSD;PSD;102;0,18;Suplente
Eleições Municipais 2020;MURIAÉ;ROSELENE SANTIAGO FERREIRA;ROSE SANTIAGO;FEMININO;PSL;PSL;101;0,18;Suplente
Eleições Municipais 2020;MURIAÉ;OSNI RAIMUNDO DA SILVA JUNIOR;OSNI DO PATRIM‘NIO;MASCULINO;CIDADANIA;CIDADANIA;100;0,18;Suplente
Eleições Municipais 2020;MURIAÉ;FABIO DE OLIVEIRA BRAGA;FABIO BRAGA;MASCULINO;PSD;PSD;97;0,17;Suplente
Eleições Municipais 2020;MURIAÉ;SONIA MARIA VIEIRA MARTINS;SONIA MARTINS;FEMININO;PSD;PSD;95;0,17;Suplente
Eleições Municipais 2020;MURIAÉ;EDNA CRISTINA DA SILVA ANDRADE;EDINHA;FEMININO;PSD;PSD;90;0,16;Suplente
Eleições Municipais 2020;MURIAÉ;ANTONIO MONTEIRO DA TRINDADE;MONTEIRO;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;88;0,16;Suplente
Eleições Municipais 2020;MURIAÉ;MAURILIO DA SILVA PEREIRA;MAU TATTOO;MASCULINO;MDB;MDB;86;0,15;Suplente
Eleições Municipais 2020;MURIAÉ;FELIX ANT‘NIO DA CUNHA;FELIX CALAIS;MASCULINO;PSB;PSB;85;0,15;Suplente
Eleições Municipais 2020;MURIAÉ;FRANCISCO MARTINS DE ASSIS;CHIQUINHO;MASCULINO;PL;PL;85;0,15;Suplente
Eleições Municipais 2020;MURIAÉ;JO√O PAULO DO PRADO OLIVEIRA;JO√O PAULO OLIVEIRA JP;MASCULINO;PT;PT;84;0,15;Não eleito
Eleições Municipais 2020;MURIAÉ;ALESSANDRO DIAS DE OLIVEIRA;ALESSANDRO DIAS DO CARRO ¡GUA;MASCULINO;AVANTE;AVANTE;82;0,14;Não eleito
Eleições Municipais 2020;MURIAÉ;LUIZ ROGERIO DE OLIVEIRA;PRESBITERO ROGERIO;MASCULINO;PSL;PSL;82;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;DEBSON DE OLIVEIRA SANTOS;DEBSON SANTOS RADIALISTA;MASCULINO;PSL;PSL;81;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;JO√O ROBERTO SOARES;BETIM DO GASPAR;MASCULINO;PL;PL;81;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;MARIO VAZ LORETE;M¡RIO LORETE;MASCULINO;CIDADANIA;CIDADANIA;78;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;ROBERTO CARLOS PEREIRA;SGT ROBERTO CARLOS;MASCULINO;PTB;PTB;78;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;GRAZIELA MARIA ALBRIGO CESARIO;DRA GRAZIELA ALBRIGO GABI;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;78;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;LEONARDO DE PAULA CAETANO;LEONARDO CAETANO;MASCULINO;PSL;PSL;77;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;NEUSA MARIA SILVEIRA RODRIGUES;NEUSA RODRIGUES;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;77;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;FRANCISCO ASSIS DE OLIVEIRA;CHICO OLIVEIRA;MASCULINO;PSB;PSB;77;0,14;Suplente
Eleições Municipais 2020;MURIAÉ;JOSE SILVIO DE MORAIS;JOS… SILVIO;MASCULINO;PSB;PSB;76;0,13;Suplente
Eleições Municipais 2020;MURIAÉ;ELAINE LUCIA DO NASCIMENTO;ELAINE NASCIMENTO;FEMININO;PL;PL;75;0,13;Suplente
Eleições Municipais 2020;MURIAÉ;LUIZ CARLOS DA SILVA PEREIRA;LUIZ MAIS BRASIL;MASCULINO;PSL;PSL;74;0,13;Suplente
Eleições Municipais 2020;MURIAÉ;HELDER DE ABREU AZEVEDO;HELDER DE ABREU AZEVEDO;MASCULINO;PTB;PTB;74;0,13;Suplente
Eleições Municipais 2020;MURIAÉ;SAMUEL DE OLIVEIRA MOIS…S;SAMUEL MOTOBOY;MASCULINO;CIDADANIA;CIDADANIA;74;0,13;Suplente
Eleições Municipais 2020;MURIAÉ;LUIS ROBERTO DE MATOS;LUIS MATOS;MASCULINO;PV;PV;72;0,13;Não eleito
Eleições Municipais 2020;MURIAÉ;CELIA RIBEIRO MIRANDA;C…LIA RIBEIRO;FEMININO;CIDADANIA;CIDADANIA;71;0,13;Suplente
Eleições Municipais 2020;MURIAÉ;DINAS DE FATIMA VENTURA DA COSTA;BIA HAIR;FEMININO;AVANTE;AVANTE;71;0,13;Não eleito
Eleições Municipais 2020;MURIAÉ;ROGERIO ANDRE DE MELO BITENCOURT;ROGERIO DO G¡S;MASCULINO;PSL;PSL;69;0,12;Suplente
Eleições Municipais 2020;MURIAÉ;TATIANE LAURA SEBASTIANA CARNEIRO;TATIANE LAURA;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;68;0,12;Suplente
Eleições Municipais 2020;MURIAÉ;GELIO DE OLIVEIRA LEAL JUNIOR;GELIO LEAL;MASCULINO;PSB;PSB;68;0,12;Suplente
Eleições Municipais 2020;MURIAÉ;EDSON MANOEL DE BARROS;EDSON BARROS;MASCULINO;AVANTE;AVANTE;67;0,12;Não eleito
Eleições Municipais 2020;MURIAÉ;WALDIR BITTENCOURT FILHO;WALDIR FILHO;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;62;0,11;Suplente
Eleições Municipais 2020;MURIAÉ;MARIA JOSE GOULART;DONA MARIA DO CEMIT…RIO;FEMININO;PSL;PSL;60;0,11;Suplente
Eleições Municipais 2020;MURIAÉ;JOS… CLAUDIO DE OLIVEIRA;CLAUDIO GAMB¡;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;59;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;R…GIS M¡RCIO SILV…RIO;REGIS DO POSTO AVENID√O;MASCULINO;MDB;MDB;59;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;MARCO AURELIO PEREIRA COSTA;MARQUINHO COSTA;MASCULINO;PL;PL;59;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;PAULINO XAVIER DE ASSIS;PAULINO DA OBRA;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;58;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;WANDERSON RODRIGUES DA COSTA JUNIOR;WANDIN;MASCULINO;PP;PP;58;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;EURIDES ANTONIO SERRANO;EURIDES SERRANO PATRAOZINHO;MASCULINO;PSB;PSB;58;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;MAGDA SOLANGE DE OLIVEIRA ALBERTO MOREIRA;MAGDA SOLANGE;FEMININO;PTB;PTB;55;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;JARBAS MIRANDA FERRAZ;JARBAS VERDUREIRO;MASCULINO;CIDADANIA;CIDADANIA;54;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;MIGUEL LEOPOLDO DE PAULA;MIGUEL DA FARM¡CIA;MASCULINO;AVANTE;AVANTE;54;0,1;Não eleito
Eleições Municipais 2020;MURIAÉ;ANTONIO CARLOS DA CRUZ;ROCK DO PLANALTO;MASCULINO;PSB;PSB;54;0,1;Suplente
Eleições Municipais 2020;MURIAÉ;PEDRO GIAGIO ANGELO;PEDRO DO TIM;MASCULINO;PDT;PDT;52;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;EVANDRO JOS… DE SOUZA;PASTOR EVANDRO;MASCULINO;MDB;MDB;52;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;GILMAR JOSE PANTALE√O;PASTOR GILMAR PANTALE√O;MASCULINO;PSL;PSL;52;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;EDUARDO RIBEIRO DE CARVALHO;EDUARDO CALIXTO;MASCULINO;AVANTE;AVANTE;51;0,09;Não eleito
Eleições Municipais 2020;MURIAÉ;CLARA MARIA DOMINGOS FIALHO;CLARA DO BAR;FEMININO;PL;PL;51;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;ANDREA RODRIGUES DA ROCHA;ANDREA ROCHA;FEMININO;AVANTE;AVANTE;51;0,09;Não eleito
Eleições Municipais 2020;MURIAÉ;WAGNER MACHADO SALVIANO;WAGUINHO VASSOURA;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;50;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;VIVIANE JOSE DE ALMEIDA;VIVIANE DO PLANALTO;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;50;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;ANTONIO JOS… RIBEIRO;ANTONIO JOS… RIBEIRO;MASCULINO;CIDADANIA;CIDADANIA;50;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;JOCELI DE OLIVEIRA;JOCELI DE OLIVEIRA;FEMININO;PTB;PTB;50;0,09;Suplente
Eleições Municipais 2020;MURIAÉ;VENERANDO VIEIRA DE PAULA;VENERANDO VIEIRA;MASCULINO;PSL;PSL;48;0,08;Suplente
Eleições Municipais 2020;MURIAÉ;GILMAR DA SILVA COSTA;GILMAR DO SOFOCO;MASCULINO;MDB;MDB;47;0,08;Suplente
Eleições Municipais 2020;MURIAÉ;ARIANA CRISTOVAM GOMES DA SILVA JANUARIO;ARIANA GOMES;FEMININO;CIDADANIA;CIDADANIA;46;0,08;Suplente
Eleições Municipais 2020;MURIAÉ;MARCELO ALAN SOUSA LIMA;VALDERRAMA BARBEIRO;MASCULINO;PP;PP;44;0,08;Suplente
Eleições Municipais 2020;MURIAÉ;PAULO ANT‘NIO SALES DE ABREU;PAULO DA VELA;MASCULINO;MDB;MDB;43;0,08;Suplente
Eleições Municipais 2020;MURIAÉ;PEDRO PAULO GUEDES DA SILVA;PEDRO PAULO PP;MASCULINO;PV;PV;43;0,08;Não eleito
Eleições Municipais 2020;MURIAÉ;MARIA APARECIDA DOS SANTOS ZEN CHAVES;DADAIA;FEMININO;PP;PP;42;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;MATIAS AURELIO DO NASCIMENTO;MATIAS DO GESSO;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;41;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;CECÕLIA BADARO CABRAL PESSOA;CECILIA BADARO;FEMININO;PSL;PSL;41;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;ALCIDES TEIXEIRA MACHADO;ALCIDES MACHADO;MASCULINO;PDT;PDT;41;0,07;Suplente
Eleições Municipais 2020;MURIAÉ;SEBASTI√O FRANCISCO DE CARVALHO;SEBASTI√O CARVALHO;MASCULINO;PL;PL;39;0,07;Suplente
